"userId","articleId","timeSpent","date"
"65b1ebbc90ba2e3794e9696d","666e7043943ea5c441591342",2966914,"2024-06-16T00:00:00.000Z"
"65b1ebbc90ba2e3794e9696d","666e703f943ea5c44159133e",512649,"2024-06-16T00:00:00.000Z"
"65b1ebbc90ba2e3794e9696d","666e7049943ea5c441591346",541102,"2024-06-16T00:00:00.000Z"
"65b1ebbc90ba2e3794e9696d","666e704f943ea5c44159134b",358103,"2024-06-16T00:00:00.000Z"
"65b1ebbc90ba2e3794e9696d","666dffb0943ea5c44159073f",116535,"2024-06-16T00:00:00.000Z"
"65b1ebbc90ba2e3794e9696d","666e72c3943ea5c441591429",751277,"2024-06-16T00:00:00.000Z"
"65b1ebbc90ba2e3794e9696d","666e72d1943ea5c44159142d",748851,"2024-06-16T00:00:00.000Z"
"65b1ebbc90ba2e3794e9696d","666e72e9943ea5c441591431",280501,"2024-06-16T00:00:00.000Z"
"65b1ebbc90ba2e3794e9696d","666e72ba943ea5c441591425",89537,"2024-06-16T00:00:00.000Z"
"65b1ebbc90ba2e3794e9696d","666e024e943ea5c4415907eb",510208,"2024-06-16T00:00:00.000Z"
"65b1ebbc90ba2e3794e9696d","666d925c943ea5c44151c3aa",2654,"2024-06-16T00:00:00.000Z"
"65b1ebbc90ba2e3794e9696d","666d9264943ea5c44151c3ae",402790,"2024-06-16T00:00:00.000Z"
"65b1ebbc90ba2e3794e9696d","666d9271943ea5c44151c3b6",252111,"2024-06-16T00:00:00.000Z"
"65b1ebbc90ba2e3794e9696d","666e7265943ea5c44159140c",219745,"2024-06-16T00:00:00.000Z"
"65b1ebbc90ba2e3794e9696d","666e7279943ea5c441591414",195120,"2024-06-16T00:00:00.000Z"
"65b1ebbc90ba2e3794e9696d","666e7273943ea5c441591410",51846,"2024-06-16T00:00:00.000Z"
"65b1ebbc90ba2e3794e9696d","666e7284943ea5c441591419",172375,"2024-06-16T00:00:00.000Z"
"65b1ebbc90ba2e3794e9696d","666e72b0943ea5c44159141d",94705,"2024-06-16T00:00:00.000Z"
"65fe496b205cf6d5f81e91fb","666d923a943ea5c44151c3a2",189308,"2024-06-16T00:00:00.000Z"
"653548118a2815874166fa66","666d923a943ea5c44151c3a2",147589,"2024-06-16T00:00:00.000Z"
"65fe496b205cf6d5f81e91fb","666c40cf943ea5c4414a72c5",9461,"2024-06-16T00:00:00.000Z"
"653548118a2815874166fa66","666c40cf943ea5c4414a72c5",27872,"2024-06-16T00:00:00.000Z"
"65fe496b205cf6d5f81e91fb","666b5e07b5692717000777cc",100087,"2024-06-16T00:00:00.000Z"
"653548118a2815874166fa66","666b5e07b5692717000777cc",205545,"2024-06-16T00:00:00.000Z"
"65b1ebbc90ba2e3794e9696d","666e71ce943ea5c4415913c9",164072,"2024-06-16T00:00:00.000Z"
"65b1ebbc90ba2e3794e9696d","666e7059943ea5c44159134f",39428,"2024-06-16T00:00:00.000Z"
"653548118a2815874166fa66","666cafcc943ea5c44151a474",152019,"2024-06-16T00:00:00.000Z"
"65fe496b205cf6d5f81e91fb","666cafcc943ea5c44151a474",139265,"2024-06-16T00:00:00.000Z"
"653548118a2815874166fa66","666caf37943ea5c44151a445",5117,"2024-06-16T00:00:00.000Z"
"653548118a2815874166fa66","666e000a943ea5c441590762",150248,"2024-06-16T00:00:00.000Z"
"653548118a2815874166fa66","666e7083943ea5c44159135d",181179,"2024-06-16T00:00:00.000Z"
"65fe496b205cf6d5f81e91fb","666af051b569271700004fbd",138654,"2024-06-16T00:00:00.000Z"
"653548118a2815874166fa66","666af051b569271700004fbd",149595,"2024-06-16T00:00:00.000Z"
"65fe496b205cf6d5f81e91fb","666e7083943ea5c44159135d",212017,"2024-06-16T00:00:00.000Z"
"65fe496b205cf6d5f81e91fb","666e000a943ea5c441590762",136631,"2024-06-16T00:00:00.000Z"
"65fd330b85a20fc084e1168b","666e7043943ea5c441591342",469335,"2024-06-16T00:00:00.000Z"
"65fd330b85a20fc084e1168b","666ee0dd2748242e4dc64440",173097,"2024-06-16T00:00:00.000Z"
